run_name,tomo-align_softwares,tomo-fiducial_alignment_status,tomo-processing,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,ts-tilt_alignment_software,ts-tilt_series_quality
pda2021-02-12-1,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-02-12-2,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-02-12-3,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-02-12-4,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-02-12-5,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-02-12-6,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-02-12-7,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-02-12-8,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-02-12-9,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-02-12-10,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-02-12-11,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-01-12-1,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-02-12-12,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-02-12-13,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-02-12-14,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-02-12-15,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-02-12-16,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-02-12-17,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
pda2021-02-12-18,['IMOD'],True,IMOD,IMOD,SIRT,IMOD,IMOD,4
