run_name,tomo-align_softwares,tomo-fiducial_alignment_status,tomo-processing,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-pixel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
pda2022-03-28-2,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
pda2022-03-28-3,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
pda2022-03-28-4,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
pda2022-03-28-5,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
pda2022-03-28-6,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
pda2022-03-28-7,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
pda2022-03-28-8,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
pda2022-03-28-9,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
pda2022-03-28-10,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
pda2022-03-28-11,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
pda2022-03-28-12,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
pda2022-03-28-13,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
pda2022-03-28-14,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
pda2022-03-28-15,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
pda2022-03-28-16,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
pda2022-03-28-17,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
pda2022-03-28-18,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
pda2022-03-28-19,['Warp'],FIDUCIAL,"Warp, Dynamo",IMOD,Weighted back projection,IMOD,1.0,0.1687,Warp,4
