run_name,tilt_series_tilt_step,tilt_series_total_flux,tomo-align_software,tomo-fiducial_alignment_status,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-data_acquisition_software,ts-pixel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality,ts-tilt_step,ts-total_flux
wnj2019-09-08-1,3.0,88.0,IMOD,FIDUCIAL,IMOD,WBP,IMOD,17.976,Serial EM,4.494,IMOD,4,3.0,88.0
wnj2019-09-08-4,3.125,88.0,IMOD,FIDUCIAL,IMOD,WBP,IMOD,17.976,Undefined,4.494,IMOD,4,3.125,88.0
wnj2019-09-08-5,3.125,88.0,IMOD,FIDUCIAL,IMOD,WBP,IMOD,17.976,Undefined,4.494,IMOD,4,3.125,88.0
wnj2019-09-08-6,3.125,88.0,IMOD,FIDUCIAL,IMOD,WBP,IMOD,17.976,Undefined,4.494,IMOD,4,3.125,88.0
wnj2019-09-08-7,3.125,88.0,IMOD,FIDUCIAL,IMOD,WBP,IMOD,17.976,Undefined,4.494,IMOD,4,3.125,88.0
wnj2019-09-08-8,3.125,88.0,,NON_FIDUCIAL,,,,,Undefined,4.494,,1,3.125,88.0
wnj2019-09-08-9,3.125,88.0,IMOD,FIDUCIAL,IMOD,WBP,IMOD,17.976,Undefined,4.494,IMOD,4,3.125,88.0
wnj2019-09-08-10,3.125,88.0,IMOD,FIDUCIAL,IMOD,WBP,IMOD,17.976,Undefined,4.494,IMOD,4,3.125,88.0
wnj2019-09-08-11,3.125,88.0,,NON_FIDUCIAL,,,,,Undefined,4.494,,1,3.125,88.0
wnj2019-09-08-12,3.125,88.0,IMOD,FIDUCIAL,IMOD,WBP,IMOD,17.976,Undefined,4.494,IMOD,4,3.125,88.0
wnj2019-09-08-13,3.125,88.0,IMOD,FIDUCIAL,IMOD,WBP,IMOD,17.976,Undefined,4.494,IMOD,4,3.125,88.0
wnj2019-09-08-14,3.125,88.0,IMOD,FIDUCIAL,IMOD,WBP,IMOD,17.976,Undefined,4.494,IMOD,4,3.125,88.0
wnj2019-09-08-15,3.125,88.0,IMOD,FIDUCIAL,IMOD,WBP,IMOD,17.976,Undefined,4.494,IMOD,4,3.125,88.0
wnj2019-09-08-16,3.125,88.0,IMOD,FIDUCIAL,IMOD,WBP,IMOD,17.976,Undefined,4.494,IMOD,4,3.125,88.0
wnj2019-09-08-17,3.125,88.0,IMOD,FIDUCIAL,IMOD,WBP,IMOD,17.976,Undefined,4.494,IMOD,4,3.125,88.0
wnj2019-09-08-18,3.125,88.0,IMOD,FIDUCIAL,IMOD,WBP,IMOD,17.976,Undefined,4.494,IMOD,4,3.125,88.0
wnj2019-09-08-25,3.0,88.0,,NON_FIDUCIAL,,,,,Undefined,4.494,,1,3.0,88.0
wnj2019-09-08-19,3.125,8.1,IMOD,FIDUCIAL,,WBP,IMOD,56.12,Serial EM,14.03,IMOD,4,3.125,8.1
wnj2019-09-08-20,3.125,8.1,IMOD,FIDUCIAL,IMOD,WBP,IMOD,56.12,Serial EM,14.03,IMOD,4,3.125,8.1
wnj2019-09-08-21,3.125,8.1,IMOD,FIDUCIAL,IMOD,WBP,IMOD,56.12,Serial EM,14.03,IMOD,4,3.125,8.1
wnj2019-09-08-22,3.125,8.1,IMOD,FIDUCIAL,IMOD,WBP,IMOD,56.12,Serial EM,14.03,IMOD,4,3.125,8.1
wnj2019-09-08-23,3.125,8.1,IMOD,FIDUCIAL,IMOD,WBP,IMOD,56.12,Serial EM,14.03,IMOD,4,3.125,8.1
wnj2019-09-08-24,3.125,8.1,IMOD,FIDUCIAL,IMOD,WBP,IMOD,56.12,Serial EM,14.03,IMOD,4,3.125,8.1
