run_name,tomo-align_softwares,tomo-fiducial_alignment_status,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_path,ts-tilt_series_quality,ts-tilt_step
dga2017-02-01-1,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_010220170001.mrc,4,1.5
dga2017-02-01-2,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/JV1181_010220170002.mrc,4,1.5
dga2017-02-01-3,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/JV1181_010220170003.mrc,4,1.5
dga2017-02-01-4,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/JV1181_010220170004.mrc,4,1.5
dga2017-02-01-5,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_010220170005.mrc,4,1.5
dga2017-02-01-6,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_010220170006.mrc,4,1.5
dga2017-02-01-7,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_010220170007.mrc,4,1.5
dga2017-02-01-8,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_010220170008.mrc,4,1.5
dga2017-02-01-9,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_010220170009.mrc,4,1.5
dga2017-02-01-10,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_010220170010.mrc,4,1.5
dga2017-02-01-11,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/JV1181_010220170011.mrc,4,1.5
dga2017-02-01-12,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_010220170012.mrc,4,1.5
dga2017-02-01-13,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_010220170013.mrc,4,1.5
dga2017-02-01-14,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_010220170015.mrc,4,1.5
dga2017-02-01-15,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_010220170016.mrc,4,1.5
dga2017-02-01-16,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_010220170017.mrc,4,1.5
dga2017-02-01-17,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_010220170018.mrc,4,1.5
