run_name,tomo-reconstruction_method,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality
dga2015-12-11-3,WBP,60.0,-60.0,4
dga2015-12-11-4,SIRT,60.0,-60.0,4
dga2015-12-11-39,SIRT,60.0,-60.0,4
dga2015-12-11-40,SIRT,60.0,-60.0,4
dga2015-12-11-42,SIRT,60.0,-60.0,4
dga2015-12-11-43,SIRT,60.0,-60.0,4
dga2015-12-11-44,SIRT,60.0,-60.0,4
dga2015-12-11-46,SIRT,60.0,-60.0,4
dga2015-12-11-47,SIRT,60.0,-60.0,4
dga2015-12-11-49,SIRT,60.0,-60.0,4
dga2015-12-11-53,SIRT,60.0,-60.0,4
dga2015-12-11-57,SIRT,60.0,-60.0,4
dga2015-12-11-58,SIRT,60.0,-60.0,4
dga2015-12-11-59,SIRT,60.0,-60.0,4
dga2015-12-11-60,SIRT,60.0,-60.0,4
dga2015-12-11-61,SIRT,60.0,-60.0,4
dga2015-12-11-62,SIRT,60.0,-60.0,4
dga2015-12-11-6,SIRT,60.0,-50.0,4
dga2015-12-11-7,SIRT,60.0,-50.0,4
dga2015-12-11-8,SIRT,60.0,-50.0,4
dga2015-12-11-9,SIRT,60.0,-50.0,4
dga2015-12-11-10,SIRT,60.0,-50.0,4
dga2015-12-11-11,SIRT,60.0,-50.0,4
dga2015-12-11-12,SIRT,60.0,-50.0,4
dga2015-12-11-13,SIRT,60.0,-50.0,4
dga2015-12-11-14,WBP,60.0,-50.0,4
dga2015-12-11-15,SIRT,60.0,-50.0,4
dga2015-12-11-16,SIRT,60.0,-50.0,4
dga2015-12-11-17,SIRT,60.0,-50.0,4
dga2015-12-11-18,SIRT,60.0,-50.0,4
dga2015-12-11-19,SIRT,60.0,-50.0,4
dga2015-12-11-20,SIRT,60.0,-50.0,4
dga2015-12-11-21,SIRT,60.0,-50.0,4
dga2015-12-11-22,SIRT,60.0,-50.0,4
dga2015-12-11-23,SIRT,60.0,-50.0,4
dga2015-12-11-25,SIRT,60.0,-50.0,4
dga2015-12-11-26,SIRT,60.0,-50.0,4
dga2015-12-11-27,SIRT,60.0,-50.0,4
dga2015-12-11-28,SIRT,60.0,-50.0,4
dga2015-12-11-29,SIRT,60.0,-50.0,4
dga2015-12-11-30,SIRT,60.0,-50.0,4
dga2015-12-11-31,SIRT,60.0,-50.0,4
dga2015-12-11-32,SIRT,60.0,-50.0,4
dga2015-12-11-33,SIRT,60.0,-50.0,4
dga2015-12-11-34,SIRT,60.0,-50.0,4
dga2015-12-11-35,SIRT,60.0,-50.0,4
dga2015-12-11-36,SIRT,60.0,-50.0,4
dga2015-12-11-38,SIRT,1.0,-60.0,2
