run_name,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
dga2019-05-16-1,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-2,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-3,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-5,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-6,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-7,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-8,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-9,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-10,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-11,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-12,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-13,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-14,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-15,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-16,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-17,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-18,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-19,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-20,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-21,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-22,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-23,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-24,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-26,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-27,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-28,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
