run_name,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
rra2014-02-20-1,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-2,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-3,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-4,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-5,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-6,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-7,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-8,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-9,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-10,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-11,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-12,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-13,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-14,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-15,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-16,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-17,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-18,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-19,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-21,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-22,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-23,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-24,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-25,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-26,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-28,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
rra2014-02-20-20,1.0,,NON_FIDUCIAL,,,,,1
rra2014-02-20-27,1.0,,NON_FIDUCIAL,,,,,1
