run_name,tomo-align_software,tomo-fiducial_alignment_status,ts-tilt_alignment_software
psa2014-12-26-1,Batchruntomo,FIDUCIAL,Batchruntomo
psa2014-12-26-3,Batchruntomo,FIDUCIAL,Batchruntomo
psa2014-12-26-2,RAPTOR,FIDUCIAL,RAPTOR
psa2014-12-27-1,RAPTOR,FIDUCIAL,RAPTOR
psa2014-12-27-2,RAPTOR,FIDUCIAL,RAPTOR
psa2014-12-27-3,RAPTOR,FIDUCIAL,RAPTOR
psa2014-12-27-4,RAPTOR,FIDUCIAL,RAPTOR
psa2014-12-27-5,RAPTOR,FIDUCIAL,RAPTOR
psa2014-12-27-6,RAPTOR,FIDUCIAL,RAPTOR
psa2014-12-26-4,autoPatch,NON_FIDUCIAL,autoPatch
