run_name,tomo-align_softwares,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,ts-tilt_alignment_software,ts-tilt_series_quality
psa2014-06-19-1,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
psa2014-06-19-2,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
psa2014-06-30-18,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
psa2014-06-30-19,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
psa2014-06-30-20,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
psa2014-06-30-21,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
psa2014-06-30-23,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
psa2014-06-30-26,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
psa2014-06-30-27,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
psa2014-06-30-28,['RAPTOR'],True,Weighted back projection,IMOD,RAPTOR,4
psa2014-06-30-17,['autoPatch'],False,Weighted back projection,IMOD,autoPatch,4
psa2014-06-30-22,['autoPatch'],False,Weighted back projection,IMOD,autoPatch,4
psa2014-06-30-25,['autoPatch'],False,Weighted back projection,IMOD,autoPatch,4
psa2014-06-30-29,['autoPatch'],False,Weighted back projection,IMOD,autoPatch,4
psa2014-06-30-24,,,,,,1
