run_name,tomo-align_softwares,tomo-fiducial_alignment_status,ts-tilt_alignment_software,ts-tilt_series_path
psa2014-06-30-1,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/atlas1_t50001.mrc
psa2014-06-30-2,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/atlas1_t50003.mrc
psa2014-06-30-3,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/atlas1_t50005.mrc
psa2014-06-30-4,['autoPatch'],NON_FIDUCIAL,autoPatch,rawdata/atlas1_t50006.mrc
psa2014-06-30-5,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/atlas1_t50007.mrc
psa2014-06-30-6,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/atlas1_t50008.mrc
psa2014-06-30-7,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/atlas1_t50009.mrc
psa2014-06-30-8,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/atlas1_t50010.mrc
psa2014-06-30-9,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/atlas1_t50012.mrc
psa2014-06-30-10,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/atlas1_t50013.mrc
psa2014-06-30-11,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/atlas1_t50015.mrc
psa2014-06-30-12,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/atlas1_t50016.mrc
psa2014-06-30-13,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/atlas1_t50017.mrc
psa2014-06-30-14,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/atlas1_t50018.mrc
psa2014-06-30-15,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/atlas1_t50019.mrc
psa2014-06-30-16,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/atlas1_t50020.mrc
