run_name,frame_dose_rate,tomo-align_software,tomo-voxel_spacing,ts-camera-model,ts-data_acquisition_software,ts-microscope-manufacturer,ts-microscope-model,ts-pixel_spacing,ts-spherical_aberration_constant,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilting_scheme
cwl2013-04-30-1,1.2396694214876034,IMOD,27.0,UltraScan,FEIbatchtomo,TFS,Krios,13.5,2.7,IMOD,60.0,-60.0,min to max tilt
cwl2013-04-30-3,1.2396694214876034,IMOD,27.0,UltraScan,FEIbatchtomo,TFS,Krios,13.5,2.7,IMOD,60.0,-60.0,min to max tilt
cwl2013-04-30-4,1.2396694214876034,IMOD,27.0,UltraScan,FEIbatchtomo,TFS,Krios,13.5,2.7,IMOD,60.0,-60.0,min to max tilt
cwl2013-04-30-5,1.2396694214876034,IMOD,27.0,UltraScan,FEIbatchtomo,TFS,Krios,13.5,2.7,IMOD,60.0,-60.0,min to max tilt
cwl2013-04-30-6,1.2396694214876034,IMOD,27.0,UltraScan,FEIbatchtomo,TFS,Krios,13.5,2.7,IMOD,60.0,-60.0,min to max tilt
cwl2013-04-30-7,1.2396694214876034,IMOD,27.0,UltraScan,FEIbatchtomo,TFS,Krios,13.5,2.7,IMOD,60.0,-60.0,min to max tilt
cwl2013-04-30-8,1.2396694214876034,IMOD,27.0,UltraScan,FEIbatchtomo,TFS,Krios,13.5,2.7,IMOD,60.0,-60.0,min to max tilt
cwl2013-04-30-9,1.2396694214876034,IMOD,27.0,UltraScan,FEIbatchtomo,TFS,Krios,13.5,2.7,IMOD,60.0,-60.0,min to max tilt
cwl2013-04-30-10,1.2396694214876034,IMOD,27.0,UltraScan,FEIbatchtomo,TFS,Krios,13.5,2.7,IMOD,60.0,-60.0,min to max tilt
cwl2013-04-30-11,1.2396694214876034,IMOD,27.0,UltraScan,FEIbatchtomo,TFS,Krios,13.5,2.7,IMOD,60.0,-60.0,min to max tilt
cwl2013-04-30-12,1.2396694214876034,IMOD,27.0,UltraScan,FEIbatchtomo,TFS,Krios,13.5,2.7,IMOD,60.0,-60.0,min to max tilt
