run_name,ts-tilt_series_path,ts-tilt_step,ts-total_flux
cwl2013-11-04-2,rawdata/13nov04_Endptvirus_montage_21x21tgt_0002.mrc,1.5,150.0
cwl2013-11-04-7,rawdata/13nov04_Endptvirus_montage_21x21tgt_0003.mrc,1.5,150.0
cwl2013-11-04-10,rawdata/13nov04_Endptvirus_montage_21x21tgt_0004.mrc,1.0,170.0
cwl2013-11-04-61,rawdata/13nov04_Endptvirus_montage_21x21tgt_0004.mrc,1.0,170.0
cwl2013-11-04-11,rawdata/13nov04_Endptvirus_montage_21x21tgt_0005.mrc,1.0,170.0
cwl2013-11-04-60,rawdata/13nov04_Endptvirus_montage_21x21tgt_0005.mrc,1.0,170.0
cwl2013-11-04-12,rawdata/13nov04_Endptvirus_montage_21x21tgt_0006.mrc,1.0,170.0
cwl2013-11-04-59,rawdata/13nov04_Endptvirus_montage_21x21tgt_0006.mrc,1.0,170.0
cwl2013-11-04-17,rawdata/13nov04_Endptvirus_montage_21x21tgt_0007.mrc,1.0,170.0
cwl2013-11-04-58,rawdata/13nov04_Endptvirus_montage_21x21tgt_0007.mrc,1.0,170.0
cwl2013-11-04-26,rawdata/13nov04_Endptvirus_montage_21x21tgt_0008.mrc,1.0,170.0
cwl2013-11-04-31,rawdata/13nov04_Endptvirus_montage_21x21tgt_0009.mrc,1.0,170.0
cwl2013-11-04-56,rawdata/13nov04_Endptvirus_montage_21x21tgt_0009.mrc,1.0,170.0
cwl2013-11-04-38,rawdata/13nov04_Endptvirus_montage_21x21tgt_0027.mrc,1.0,170.0
cwl2013-11-04-39,rawdata/13nov04_Endptvirus_montage_21x21tgt_0026.mrc,1.0,170.0
cwl2013-11-04-40,rawdata/13nov04_Endptvirus_montage_21x21tgt_0025.mrc,1.0,170.0
cwl2013-11-04-41,rawdata/13nov04_Endptvirus_montage_21x21tgt_0024.mrc,1.0,170.0
cwl2013-11-04-42,rawdata/13nov04_Endptvirus_montage_21x21tgt_0023.mrc,1.0,170.0
cwl2013-11-04-43,rawdata/13nov04_Endptvirus_montage_21x21tgt_0022.mrc,1.0,170.0
cwl2013-11-04-44,rawdata/13nov04_Endptvirus_montage_21x21tgt_0021.mrc,1.0,170.0
cwl2013-11-04-45,rawdata/13nov04_Endptvirus_montage_21x21tgt_0020.mrc,1.0,170.0
cwl2013-11-04-46,rawdata/13nov04_Endptvirus_montage_21x21tgt_0019.mrc,1.0,170.0
cwl2013-11-04-47,rawdata/13nov04_Endptvirus_montage_21x21tgt_0018.mrc,1.0,170.0
cwl2013-11-04-48,rawdata/13nov04_Endptvirus_montage_21x21tgt_0017.mrc,1.0,170.0
cwl2013-11-04-49,rawdata/13nov04_Endptvirus_montage_21x21tgt_0016.mrc,1.0,170.0
cwl2013-11-04-50,rawdata/13nov04_Endptvirus_montage_21x21tgt_0015.mrc,1.0,170.0
cwl2013-11-04-51,rawdata/13nov04_Endptvirus_montage_21x21tgt_0014.mrc,1.0,170.0
cwl2013-11-04-52,rawdata/13nov04_Endptvirus_montage_21x21tgt_0013.mrc,1.0,170.0
cwl2013-11-04-53,rawdata/13nov04_Endptvirus_montage_21x21tgt_0012.mrc,1.0,170.0
cwl2013-11-04-54,rawdata/13nov04_Endptvirus_montage_21x21tgt_0011.mrc,1.0,170.0
cwl2013-11-04-55,rawdata/13nov04_Endptvirus_montage_21x21tgt_0010.mrc,1.0,170.0
cwl2013-11-04-62,rawdata/13nov04_Endptvirus_montage_21x21tgt_0030.mrc,1.0,170.0
