run_name,tomo-align_softwares,ts-tilt_alignment_software,ts-total_flux
scy2015-04-18-2,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-4,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-5,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-6,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-7,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-8,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-10,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-11,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-12,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-13,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-14,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-15,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-16,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-17,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-18,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-19,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-20,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-23,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-24,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-25,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-26,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-28,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-29,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-31,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-33,['RAPTOR'],RAPTOR,90.0
scy2015-04-18-3,['Batchruntomo'],Batchruntomo,90.0
scy2015-04-18-9,['Batchruntomo'],Batchruntomo,90.0
scy2015-04-18-21,['Batchruntomo'],Batchruntomo,90.0
scy2015-04-18-22,['Batchruntomo'],Batchruntomo,90.0
scy2015-04-18-30,['Batchruntomo'],Batchruntomo,90.0
scy2016-03-15-2,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-3,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-5,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-6,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-7,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-8,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-9,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-10,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-11,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-12,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-13,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-14,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-15,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-16,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-17,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-18,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-19,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-20,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-21,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-22,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-23,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-24,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-25,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-26,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-27,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-28,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-29,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-30,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-31,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-32,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-33,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-34,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-35,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-36,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-37,['RAPTOR'],RAPTOR,150.0
scy2016-03-15-38,['RAPTOR'],RAPTOR,150.0
