run_name,tomo-align_softwares,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_path,ts-tilt_series_quality
aba2014-04-11-1,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0002.mrc,4
aba2014-04-11-2,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0003.mrc,4
aba2014-04-11-3,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0004.mrc,4
aba2014-04-11-4,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0005.mrc,4
aba2014-04-11-5,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0006.mrc,4
aba2014-04-11-6,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0007.mrc,4
aba2014-04-11-7,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0008.mrc,4
aba2014-04-11-8,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0010.mrc,4
aba2014-04-11-9,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0011.mrc,4
aba2014-04-11-10,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0012.mrc,4
aba2014-04-11-11,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0013.mrc,4
aba2014-04-11-12,,NON_FIDUCIAL,None,None,,,rawdata/VibrioharveyiOEApril0014.mrc,1
aba2014-04-11-13,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0015.mrc,4
aba2014-04-11-14,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0016.mrc,4
aba2014-04-11-15,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0017.mrc,4
aba2014-04-11-16,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0018.mrc,4
aba2014-04-11-17,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0019.mrc,4
aba2014-04-11-18,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0020.mrc,4
aba2014-04-11-19,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0021.mrc,4
aba2014-04-11-20,['autoPatch'],NON_FIDUCIAL,Weighted back projection,IMOD,13.059,autoPatch,rawdata/VibrioharveyiOEApril0022.mrc,4
aba2014-04-11-21,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0023.mrc,4
aba2014-04-11-22,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0024.mrc,4
aba2014-04-11-23,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0025.mrc,4
aba2014-04-11-24,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0026.mrc,4
aba2014-04-11-25,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0027.mrc,4
aba2014-04-11-26,['RAPTOR'],FIDUCIAL,Weighted back projection,IMOD,13.059,RAPTOR,rawdata/VibrioharveyiOEApril0028.mrc,4
