run_name,tomo-align_softwares,ts-tilt_alignment_software
aba2015-07-15-36,['RAPTOR'],RAPTOR
aba2015-07-15-37,['RAPTOR'],RAPTOR
aba2015-07-15-39,['RAPTOR'],RAPTOR
aba2015-07-15-40,['RAPTOR'],RAPTOR
aba2015-07-15-42,['RAPTOR'],RAPTOR
aba2015-07-15-43,['RAPTOR'],RAPTOR
aba2015-07-15-44,['RAPTOR'],RAPTOR
aba2015-07-15-45,['RAPTOR'],RAPTOR
aba2015-07-15-47,['RAPTOR'],RAPTOR
aba2015-07-15-48,['RAPTOR'],RAPTOR
aba2015-07-15-49,['RAPTOR'],RAPTOR
aba2015-07-15-50,['RAPTOR'],RAPTOR
aba2015-07-15-52,['RAPTOR'],RAPTOR
aba2015-07-15-54,['RAPTOR'],RAPTOR
aba2015-07-15-56,['RAPTOR'],RAPTOR
aba2015-07-15-57,['RAPTOR'],RAPTOR
aba2015-07-15-58,['RAPTOR'],RAPTOR
aba2015-07-15-59,['RAPTOR'],RAPTOR
aba2015-07-15-60,['RAPTOR'],RAPTOR
aba2015-07-15-61,['RAPTOR'],RAPTOR
aba2015-07-15-62,['RAPTOR'],RAPTOR
aba2015-07-15-63,['RAPTOR'],RAPTOR
aba2015-07-15-66,['RAPTOR'],RAPTOR
aba2015-07-15-67,['RAPTOR'],RAPTOR
aba2015-07-15-68,['RAPTOR'],RAPTOR
aba2015-07-15-69,['RAPTOR'],RAPTOR
aba2015-07-15-70,['RAPTOR'],RAPTOR
aba2015-07-15-71,['RAPTOR'],RAPTOR
aba2015-07-28-1,['RAPTOR'],RAPTOR
aba2015-07-28-2,['RAPTOR'],RAPTOR
aba2015-07-15-41,['Batchruntomo'],Batchruntomo
aba2015-07-15-51,['Batchruntomo'],Batchruntomo
aba2015-07-15-53,['Batchruntomo'],Batchruntomo
aba2015-07-15-55,['Batchruntomo'],Batchruntomo
aba2015-07-15-65,['Batchruntomo'],Batchruntomo
