run_name,tomo-align_softwares,ts-tilt_alignment_software,ts-tilt_series_path
aba2014-10-29-1,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0001.mrc
aba2014-10-29-2,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0002.mrc
aba2014-10-29-3,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0003.mrc
aba2014-10-29-4,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0004.mrc
aba2014-10-29-5,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0005.mrc
aba2014-10-29-6,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0006.mrc
aba2014-10-29-7,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0007.mrc
aba2014-10-29-8,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0008.mrc
aba2014-10-29-9,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0009.mrc
aba2014-10-29-10,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0010.mrc
aba2014-10-29-11,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0011.mrc
aba2014-10-29-13,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0013.mrc
aba2014-10-29-14,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0014.mrc
aba2014-10-29-15,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0015.mrc
aba2014-10-29-16,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0016.mrc
aba2014-10-29-18,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0018.mrc
aba2014-10-29-19,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0019.mrc
aba2014-10-29-20,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0020.mrc
aba2014-10-29-21,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0021.mrc
aba2014-10-29-22,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0022.mrc
aba2014-10-29-23,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0023.mrc
aba2014-10-29-24,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0024.mrc
aba2014-10-29-25,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0025.mrc
aba2014-10-29-26,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0026.mrc
aba2014-10-29-27,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0027.mrc
aba2014-10-29-28,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0028.mrc
aba2014-10-29-29,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0029.mrc
aba2014-10-29-30,['Batchruntomo'],Batchruntomo,rawdata/Aer2PlasmidOctober0030.mrc
aba2014-10-29-31,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0031.mrc
aba2014-10-29-32,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0032.mrc
aba2014-10-29-33,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0033.mrc
aba2014-10-29-34,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0034.mrc
aba2014-10-29-35,['RAPTOR'],RAPTOR,rawdata/Aer2PlasmidOctober0035.mrc
aba2015-02-12-1,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0001.mrc
aba2015-02-12-2,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0002.mrc
aba2015-02-12-3,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0004.mrc
aba2015-02-12-4,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0005.mrc
aba2015-02-12-5,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0006.mrc
aba2015-02-12-6,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0008.mrc
aba2015-02-12-7,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0009.mrc
aba2015-02-12-8,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0011.mrc
aba2015-02-12-9,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0012.mrc
aba2015-02-12-10,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0013.mrc
aba2015-02-12-11,['RAPTOR'],RAPTOR,rawdata/Pseudoaerplusinduced0014.mrc
