run_name,tomo-align_software,ts-tilt_alignment_software
aba2015-05-29-32,RAPTOR,RAPTOR
aba2015-05-29-34,RAPTOR,RAPTOR
aba2015-05-29-35,RAPTOR,RAPTOR
aba2015-05-29-36,RAPTOR,RAPTOR
aba2015-05-29-37,RAPTOR,RAPTOR
aba2015-05-29-38,RAPTOR,RAPTOR
aba2015-05-29-39,RAPTOR,RAPTOR
aba2015-05-29-40,RAPTOR,RAPTOR
aba2015-05-29-41,RAPTOR,RAPTOR
aba2015-05-29-42,RAPTOR,RAPTOR
aba2015-05-29-43,RAPTOR,RAPTOR
aba2015-05-29-45,RAPTOR,RAPTOR
aba2015-05-29-46,RAPTOR,RAPTOR
aba2015-05-29-47,RAPTOR,RAPTOR
aba2015-05-29-48,RAPTOR,RAPTOR
aba2015-05-29-49,RAPTOR,RAPTOR
aba2015-05-29-51,RAPTOR,RAPTOR
aba2015-05-29-52,RAPTOR,RAPTOR
aba2015-05-29-53,RAPTOR,RAPTOR
aba2015-05-29-54,RAPTOR,RAPTOR
aba2015-05-29-55,RAPTOR,RAPTOR
aba2015-05-29-56,RAPTOR,RAPTOR
aba2015-05-29-57,RAPTOR,RAPTOR
aba2015-05-29-58,RAPTOR,RAPTOR
aba2015-05-29-59,RAPTOR,RAPTOR
aba2015-05-29-60,RAPTOR,RAPTOR
aba2015-05-29-61,RAPTOR,RAPTOR
aba2015-05-29-62,RAPTOR,RAPTOR
aba2015-05-29-33,Batchruntomo,Batchruntomo
aba2015-05-29-44,Batchruntomo,Batchruntomo
aba2015-05-29-50,Batchruntomo,Batchruntomo
